channel_name,short_video_id,short_url,short_title,short_upload_date,short_duration_sec,percentile_bucket,channel_performance_percentile,short_views,channel_longform_count,suggest1_score,suggest1_url,suggest1_title,suggest1_duration_sec,suggest2_score,suggest2_url,suggest2_title,suggest2_duration_sec,suggest3_score,suggest3_url,suggest3_title,suggest3_duration_sec,origin_long_video_url,manual_start_sec,manual_end_sec
OOTB,uQGgZR58GXc,https://www.youtube.com/shorts/uQGgZR58GXc,수학을 잘 하는 법 (feat. 믿음),20230923,57,p40_60,49.9,222000,275,0.25,https://www.youtube.com/watch?v=355LIXPCgEg,#1 Gopchang Mukbang❗️Wangsimni Gopchang World Cup🏆(feat.TREASURE JIHOON & JAE HY,2004.0,0.25,https://www.youtube.com/watch?v=_gZMobQgypc,Why Elevators Never Fall (feat. MEOVV SOOIN) [Elevator Dept.] | Jeongwaja ep.126,1655.0,0.25,https://www.youtube.com/watch?v=iwkLMTo65mo,[Induk Univ. Jewelry Design] A Major for Wealth (feat. RIIZE EUNSEOK & SUNGCHAN),1832.0,,,
OOTB,4KdW1_r1CYA,https://www.youtube.com/shorts/4KdW1_r1CYA,300만 원 짜리 티켓팅 현장,20250920,69,p60_80,69.9,780000,275,0.0727,https://www.youtube.com/watch?v=1-n5y1neiIU,"You are wasting 30,000 won {Mobile Carrier VIP} | Sangpalja ep.1",1314.0,0.0364,https://www.youtube.com/watch?v=sA9ya3EiNfQ,100% Samsung Job Guarantee (feat. NCT TAEYONG) [SKKU Semiconductor Systems] | Je,1895.0,0.0364,https://www.youtube.com/watch?v=x12ggra6lkE,"If you are worried about period leaks, you must buy this | Lee Sun Min, LEE MIJO",1321.0,,,
숏박스,I2ZFObB-jX8,https://www.youtube.com/shorts/I2ZFObB-jX8,영화보는 썸사친,20260104,45,p20_40,32.7,684000,189,0.0667,https://www.youtube.com/watch?v=U_FU0EBhSd0,영화관,613.0,0.0667,https://www.youtube.com/watch?v=mYPot-z1RBQ,화보 촬영,527.0,0.0667,https://www.youtube.com/watch?v=RFzWPdnLPT4,영화관,411.0,,,
숏박스,e_9_LNiZY1E,https://www.youtube.com/shorts/e_9_LNiZY1E,이렇게 먹으면 진짜 맛있습니다,20260705,46,p40_60,52.7,1100000,189,0.2667,https://www.youtube.com/watch?v=w70BbIcdaRI,털이 왜 이렇게 많아,623.0,0.2667,https://www.youtube.com/watch?v=45sLQMyBg0I,커플 왜 이렇게 많아?,347.0,0.2667,https://www.youtube.com/watch?v=dBENnu9N5Pc,왜 이렇게 오랜만에 오셨어요,499.0,,,
안원잘부,mDwMojRzdD0,https://www.youtube.com/shorts/mDwMojRzdD0,Chiba Gyaru and Geoje Gyaru,20260409,18,p40_60,50.0,1600000,20,0.6667,https://www.youtube.com/watch?v=SF29doLuBfc,Gyaru and Geoje Part 2,1471.0,0.3778,https://www.youtube.com/watch?v=OrCOflk2QmQ,I brought a Gal to Geoje (Geoje Part 1),1632.0,0.3333,https://www.youtube.com/watch?v=heifaIjlSUc,I Tried Learning the Gyaru Attitude,1434.0,,,
안원잘부,-w54l3NkWQQ,https://www.youtube.com/shorts/-w54l3NkWQQ,삼촌 우리 성공해요,20260205,56,p60_80,68.6,2700000,20,0.0571,https://www.youtube.com/watch?v=lSxqQYipZoU,선민 삼촌과 콩나물 국밥,808.0,0.0,https://www.youtube.com/watch?v=8r-YPb_tKlM,Anwon Jalbu unreleased footage,803.0,0.0,https://www.youtube.com/watch?v=5spDxl-yzUQ,Trying Out a Day as a Delinquent | Character Side Story,1099.0,,,
워크맨,VrINyipTvIA,https://www.youtube.com/shorts/VrINyipTvIA,딜러의 전문용어,20231023,23,p40_60,50.3,110000,503,0.0,https://www.youtube.com/watch?v=Na-AYnFiWNQ,Moving 1.2 Tons of Watermelons That Puts Package Handling to Shame 🍉💦 | Watermel,1288.0,0.0,https://www.youtube.com/watch?v=VvJUi6uM_ck,The Reality of Seoul Rent for Young Adults 🏠💦 | Real Estate Assistant | Workdol ,1430.0,0.0,https://www.youtube.com/watch?v=yx9P3xDUgDY,Can you ride the slides unlimited if you work part-time at Caribbean Bay? 🏖️ |Li,1260.0,,,
워크맨,pFS0l7et9bg,https://www.youtube.com/shorts/pFS0l7et9bg,워크맨 신입 알바 레슨 #이준,20250724,24,p40_60,50.3,110000,503,0.36,https://www.youtube.com/watch?v=14iV93237FE,시작부터 벗으라고요?? | 워크맨 | 이준,577.0,0.36,https://www.youtube.com/watch?v=WOeSJamF0wQ,역대급 시급에 최초 알바 거부 선언ㄷㄷ 일 안하고 눕방 먹방 머리감기까지 다하는 부업 알바 리뷰 2편ㅣ 워크맨 ep.43,579.0,0.24,https://www.youtube.com/watch?v=FDFZ0aDKjVI,영혼 불태웠다🔥...치어리더 알바 | 말왕 | 워크맨2,1512.0,,,
피식대학,R5RiPU_STm4,https://www.youtube.com/shorts/R5RiPU_STm4,지방 상대성 이론이란?,20260408,38,p20_40,30.1,273000,926,0.05,https://www.youtube.com/watch?v=AbbroBzxgiw,[05학번이즈히어] 인사드리러 온 남동생의 결혼 상대를 어떻게 대하는가,1016.0,0.05,https://www.youtube.com/watch?v=ylOKW_hmzys,[피식탁구대회]마른 비만과 그냥 비만의 체지방 자존심 대결! 황인심 vs 이용주 대격돌!,1303.0,0.05,https://www.youtube.com/watch?v=I7yaklZTSiQ,[피식탁구대회] 고중량 고지방 더비! 체지방률 42% 이용주 vs 36% 유영우 격돌!,1076.0,,,
피식대학,Y59vDIGo5DU,https://www.youtube.com/shorts/Y59vDIGo5DU,눈물뿐인 바보 복원 전 후 비교,20250915,60,p20_40,30.1,273000,926,0.0364,https://www.youtube.com/watch?v=5PPcvK9Ua4U,천재이승국에게 바보냐고 묻다 [천재이승국의 먼데이승국],3612.0,0.0364,https://www.youtube.com/watch?v=z4_xUL3bwCQ,긁 촬영 중 최초 눈물 사태 발발!｜김지유 vs 박세미,711.0,0.0364,https://www.youtube.com/watch?v=31by05cD92g,[로니앤스티브] 미국 교포 스티브의 한복데이트 첫 도전기 (눈물주의),600.0,,,
피식대학,GFShZ9okCIA,https://www.youtube.com/shorts/GFShZ9okCIA,흑백요리사 닉네임 정하기 (2000년대 ver),20241014,35,p40_60,50.0,553000,926,0.2089,https://www.youtube.com/watch?v=kmUCB-KNk4k,[05학번이즈백] 맥주창고에서 듣는 2000년대 클럽 MuZik 플레이리스트 | 1시간듣기,3757.0,0.2089,https://www.youtube.com/watch?v=ZQOwgIMIzQ4,[08학번이즈백] 2000년대 유행했던 옷찾기,354.0,0.2089,https://www.youtube.com/watch?v=Y5AgyXPpYz8,[08학번이즈백]캔모아먹방 그리고 추억팔이...(with 2000년대 형들),326.0,,,
피식대학,RxXYh_W3BOE,https://www.youtube.com/shorts/RxXYh_W3BOE,안성재 VS 침착맨,20260115,48,p40_60,50.1,554000,926,0.3143,https://www.youtube.com/watch?v=Tm0QFfrngWU,"찐따의 역사는 흐른다 (수강생 : 침착맨, 궤도)",2551.0,0.2571,https://www.youtube.com/watch?v=tJAUiJNrgeU,[너드학회] 문과찐따 vs 이과찐따,699.0,0.2571,https://www.youtube.com/watch?v=dHW7wDbJlPU,[Kor Sub] Re-asking pH-1 on Egennam vs. Tetonam,1340.0,,,
