"candidate_id","pair_id","label","channel","long_video_id","short_video_id","evidence_source","description_chars","transcript_chars","before_chars","after_chars"
"C_f4eee8b865523c","N002","neg","빠더너스","M5keW3grlrs","tZvEKvvkM_I","short_subtitle_with_long_context","0","451","217","208"
"C_0b43250c3fb13b","P005","neg","안녕하세요원이입니다잘부탁드립니다","NS7tSrMrWsc","QEpr_lLWw-0","short_subtitle_with_long_context","0","531","320","296"
"C_bcb4110dcf2b7a","P001","pos","안녕하세요원이입니다잘부탁드립니다","NS7tSrMrWsc","c8vCVztYVg8","short_subtitle_with_long_context","0","653","291","179"
"C_449ff5b1781f5d","G014","pos","OOTB_Studio","NU5X-txt9uU","2oG9HS1szAU","short_subtitle_with_long_context","0","378","193","184"
"C_277bc53c8216bf","C005","neg","워크맨","Or3vsBijlJg","IGVvKsj3OYI","short_subtitle_with_long_context","0","110","143","54"
"C_6574c6dcadb057","P010","pos","안녕하세요원이입니다잘부탁드립니다","OrCOflk2QmQ","Djc2pShwxpI","long_subtitle_interval","0","431","92","285"
"C_c3264d2b2453c9","P011","pos","안녕하세요원이입니다잘부탁드립니다","OrCOflk2QmQ","jcjUlRUDya4","short_subtitle_with_long_context","0","255","194","123"
"C_51631ee0d10b8f","G025","pos","워크맨","P8RmTGNoPl0","AqnexsQ9Aks","short_subtitle_with_long_context","0","170","212","58"
"C_64ce5d5092633a","N004","neg","숏박스","P_NBYI8S8ak","FlK60kS4-rc","short_subtitle_with_long_context","0","461","326","169"
"C_879979b2321b5f","G001","pos","숏박스","PbUlNGCqBVw","OnfYDOBjYfM","short_subtitle_with_long_context","0","800","316","375"
"C_4bcdfbef1287f1","N011","neg","워크맨","RoYUmoP7m64","HqZHkrYsEHs","short_subtitle_with_long_context","0","581","245","218"
"C_15ffc5803ad378","N001","neg","빠더너스","SXM8N6Y37uQ","4n21mKfD-ds","short_subtitle_with_long_context","0","592","293","284"
"C_e5bcd62c9f9138","C003","neg","숏박스","UA2YeCJTSjk","wILE8SzU0j8","short_subtitle_with_long_context","0","590","256","273"
"C_80120666fc6b31","N013","neg","워크맨","YtdkGHLFhhU","TO_EFaZDbSI","short_subtitle_with_long_context","0","336","238","184"
"C_d01f46a967fcf8","N024","neg","안녕하세요원이입니다잘부탁드립니다","Yy58f1A6F-c","jilQNKreZBM","short_subtitle_with_long_context","0","189","65","21"
"C_5ff24ff199b60c","N003","neg","숏박스","b0f0fMlhGd0","RQUZS82ZWyw","short_subtitle_with_long_context","0","913","241","344"
"C_79b33eb05372e8","N026","neg","안녕하세요원이입니다잘부탁드립니다","bvUS-ri9nqQ","WdMdgQJPDmw","short_subtitle_with_long_context","0","712","178","251"
"C_91c20977c59e59","G005","pos","숏박스","cJiYXnMtYl0","1IDEwu4Jvxw","short_subtitle_with_long_context","0","856","315","284"
"C_cd991af384fbed","N021","neg","OOTB_Studio","dLapBWDi5BE","TTjEGxwr5Pg","short_subtitle_with_long_context","0","506","204","172"
"C_d70e255b7746be","C002","neg","숏박스","fwBGVX5NbsA","jVGs8Mt8F0U","short_subtitle_with_long_context","0","558","430","367"
"C_d9d4159e044eb1","C001","neg","숏박스","gfry8D88Sv0","BPwNUORUCOI","short_subtitle_with_long_context","0","1038","262","247"
"C_3ced2092b7ae00","G009","pos","피식대학","gyMxiDXARbI","8QmzdjiuBPo","long_subtitle_interval","0","273","252","20"
"C_cea1f323853569","N005","neg","숏박스","hL-vwcwZmfk","mN9eKF37i5o","short_subtitle_with_long_context","0","988","227","159"
"C_e7a853d9f03b80","P008","neg","안녕하세요원이입니다잘부탁드립니다","heifaIjlSUc","9lZ49H7koy8","short_subtitle_with_long_context","0","587","229","243"
"C_76b243cf4e837e","P007","pos","안녕하세요원이입니다잘부탁드립니다","heifaIjlSUc","lIqwLsFw3LQ","short_subtitle_with_long_context","0","428","267","217"
"C_07a9c5cab9d574","G004","pos","숏박스","iEr0A1pBMKA","8RHTeRZyAms","short_subtitle_with_long_context","0","992","279","253"
"C_57d90cca2c5ca6","N012","neg","워크맨","iInwf4yYdYk","LelrpQvoPrM","short_subtitle_with_long_context","0","295","194","218"
"C_45be0f17c95be4","N018","neg","OOTB_Studio","jmS-BW6mXOs","Afk5qRaJY5o","short_subtitle_with_long_context","0","701","263","263"
"C_b9080a45fa3455","G003","pos","숏박스","kqp0SX08Vgo","SanCfrgd-CM","short_subtitle_with_long_context","0","555","217","358"
"C_5489b2d52cde05","G002","pos","숏박스","lPl8-Fo4nr8","gQ-nHlRHDaE","short_subtitle_with_long_context","0","338","301","242"
"C_0db0b93728c082","G006","pos","숏박스","mnGNoGj19Jg","ytkvihe5k1Q","short_subtitle_with_long_context","0","343","219","252"
"C_c1def9e8a32e4a","G022","pos","워크맨","mverbGxXN0M","YmMJrhU3NZE","short_subtitle_with_long_context","0","351","203","196"
"C_4cdbf4fbec3d94","G013","pos","OOTB_Studio","nVJIIWdwx60","viIvggdLF5s","short_subtitle_with_long_context","0","361","222","271"
"C_90eed2eae22ac1","G008","pos","숏박스","oIq0h5_FZAw","nLcsPfFQwdM","short_subtitle_with_long_context","0","701","411","431"
"C_9dab626517d830","G028","pos","워크맨","pH_LU8mMXqU","vkjmsyrvRDI","long_subtitle_interval","0","33","16","109"
"C_4a5d8200a8f364","G007","pos","숏박스","q1cOniSzk9o","KLDQAVHBMgE","short_subtitle_with_long_context","0","600","16","16"
"C_5bbb21267b19b5","G019","pos","빠더너스","rORE8KqiWQw","aTUXCOVmf3I","short_subtitle_with_long_context","0","193","187","175"
"C_3d0d574b5a3754","G017","pos","OOTB_Studio","u2BCGcOweTo","iKDmq5Pb8VM","short_subtitle_with_long_context","0","553","170","172"
"C_f5c9b400f1fe79","G018","pos","빠더너스","xQu9l6UtMNk","Z6wHHOxBt_4","short_subtitle_with_long_context","0","1792","335","302"
"C_b33de89ca66dc4","G012","pos","OOTB_Studio","yk3hY55W9nE","7B7evgf22sY","short_subtitle_with_long_context","0","448","188","141"
"C_28f99dd939fefd","G011","pos","OOTB_Studio","yk3hY55W9nE","PsHAqiAIqEA","short_subtitle_with_long_context","0","560","229","238"
